Strong
ENSG00000128274	A4GALT	A14GALT,Gb3S,P(k)	alpha 1,4-galactosyltransferase
ENSG00000170037	CNTROB	LIP8,PP1221	centrobin, centrosomal BRCA2 interacting protein
ENSG00000068120	COASY	CoASY,DPCK,NBP,PPAT	CoA synthase
ENSG00000106078	COBL	KIAA0633	cordon-bleu homolog (mouse)
ENSG00000188986	COBRA1	KIAA1182,NELF-B	cofactor of BRCA1
ENSG00000166685	COG1	KIAA1381,LDLB	component of oligomeric golgi complex 1
ENSG00000135775	COG2	LDLC	component of oligomeric golgi complex 2
ENSG00000187955	COL14A1	UND	collagen, type XIV, alpha 1
ENSG00000142156	COL6A1		collagen, type VI, alpha 1
ENSG00000093010	COMT		catechol-O-methyltransferase
ENSG00000166200	COPS2	ALIEN,CSN2,TRIP15	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)
ENSG00000121022	COPS5	CSN5,JAB1,MOV-34,SGN5	COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis)
ENSG00000128510	CPA4	CPA3	carboxypeptidase A4
ENSG00000157184	CPT2	CPT1,CPTASE	carnitine palmitoyltransferase 2
ENSG00000118260	CREB1		cAMP responsive element binding protein 1
ENSG00000103196	CRISPLD2	DKFZP434B044,LCRISP2	cysteine-rich secretory protein LCCL domain containing 2
ENSG00000167258	CRKRS	CDK12,CRK7,CRKR,CRKRS,KIAA0904	cyclin-dependent kinase 12
ENSG00000008405	CRY1	PHLL1	cryptochrome 1 (photolyase-like)
ENSG00000205758	CRYZL1	4P11,QOH-1	crystallin, zeta (quinone reductase)-like 1
ENSG00000124207	CSE1L	CAS,CSE1,XPO2	CSE1 chromosome segregation 1-like (yeast)
ENSG00000204435	CSNK2B		Casein kinase II subunit beta (CK II beta)(Phosvitin)(Protein G5a)
ENSG00000178662	CSRNP3	FAM130A2,FLJ32093,TAIP-2	cysteine-serine-rich nuclear protein 3
ENSG00000101811	CSTF2		cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa
ENSG00000159692	CTBP1	BARS	C-terminal binding protein 1
ENSG00000175029	CTBP2	ribeye	C-terminal binding protein 2
ENSG00000168036	CTNNB1	beta-catenin,CTNNB	catenin (cadherin-associated protein), beta 1, 88kDa
ENSG00000132792	CTNNBL1	C20orf33,FLJ21108,NAP,NYD-SP19,P14,P14L	catenin, beta like 1
ENSG00000117984	CTSD	CLN10,CPSD	cathepsin D
ENSG00000151792	CTSO	CTSO1	cathepsin O
ENSG00000158290	CUL4B		cullin 4B
ENSG00000160967	CUX1	CASP,CDP,CDP/Cut,CDP/Cux,CDP1,Clox,CUT,CUTL1,CUX,Cux/CDP,GOLIM6	cut-like homeobox 1
ENSG00000204019	CXorf61	CT83,FLJ20611,FLJ22913,KK-LC-1	chromosome X open reading frame 61
ENSG00000103018	CYB5B	CYB5-M	cytochrome b5 type B (outer mitochondrial membrane)
ENSG00000100243	CYB5R3	DIA1	cytochrome b5 reductase 3
ENSG00000071967	CYBRD1	DCYTB,FLJ23462,FRRS3	cytochrome b reductase 1
ENSG00000138061	CYP1B1	CP1B,GLC3A	cytochrome P450, family 1, subfamily B, polypeptide 1
ENSG00000008256	CYTH3	ARNO3,GRP1,PSCD3	cytohesin 3
ENSG00000128487	CYTSB	FLJ36955,HCMOGT-1,NSP,SPECC1	cytospin B
ENSG00000153071	DAB2	DOC-2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
ENSG00000132676	DAP3	bMRP-10,DAP-3,DKFZp686G12159,MGC126058,MGC126059,MRP-S29,MRPS29	death associated protein 3
ENSG00000115866	DARS		aspartyl-tRNA synthetase
ENSG00000204209	DAXX	DAP6	death-domain associated protein
ENSG00000071626	DAZAP1	MGC19907	DAZ associated protein 1
ENSG00000136279	DBNL	HIP-55,SH3P7	drebrin-like
ENSG00000136485	DCAF7	HAN11,SWAN-1,WDR68	DDB1 and CUL4 associated factor 7
ENSG00000057019	DCBLD2	CLCP1,ESDN	discoidin, CUB and LCCL domain containing 2
ENSG00000129187	DCTD		dCMP deaminase
ENSG00000169738	DCXR	DCR,KIDCR,SDR20C1	dicarbonyl/L-xylulose reductase
ENSG00000134574	DDB2	DDBB,FLJ34321,UV-DDB2	damage-specific DNA binding protein 2, 48kDa
ENSG00000085788	DDHD2	KIAA0725,SAMWD1	DDHD domain containing 2
ENSG00000064703	DDX20	DP103,GEMIN3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20
ENSG00000109832	DDX25	GRTH	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25
ENSG00000198231	DDX42	RHELP,RNAHP,SF3b125	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42
ENSG00000213782	DDX47	DKFZp564O176,FLJ30012,HQ0256	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47
ENSG00000108654	DDX5	G17P1,HLR1,p68	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5
ENSG00000104325	DECR1	DECR,SDR18C1	2,4-dienoyl CoA reductase 1, mitochondrial
ENSG00000124795	DEK	D6S231E	DEK oncogene
ENSG00000121690	DEPDC7		DEP domain containing 7
ENSG00000136986	DERL1	DER-1,DER1,derlin-1,FLJ13784,MGC3067,PRO2577	Der1-like domain family, member 1
ENSG00000160049	DFFA	DFF-45,DFF1,DFF45,ICAD	DNA fragmentation factor, 45kDa, alpha polypeptide
ENSG00000105928	DFNA5	ICERE-1	deafness, autosomal dominant 5
ENSG00000095059	DHPS	MIG13	deoxyhypusine synthase
ENSG00000162496	DHRS3	RDH17,retSDR1,Rsdr1,SDR1,SDR16C1	dehydrogenase/reductase (SDR family) member 3
ENSG00000108771	DHX58	D11LGP2,LGP2	DEXH (Asp-Glu-X-His) box polypeptide 58
ENSG00000135829	DHX9	DDX9,LKP,RHA	DEAH (Asp-Glu-Ala-His) box polypeptide 9
ENSG00000184047	DIABLO	DIABLO-S,FLJ10537,FLJ25049,SMAC	diablo homolog (Drosophila)
ENSG00000130826	DKC1	ACA56,DKC,dyskerin,NAP57,NOLA4,SNORA56,XAP101	small nucleolar RNA, H/ACA box 56
ENSG00000150672	DLG2	chapsyn-110,PSD-93,PSD93	discs, large homolog 2 (Drosophila)
ENSG00000105880	DLX5		distal-less homeobox 5
ENSG00000135164	DMTF1	DMP1,DMTF,hDMP1	cyclin D binding myb-like transcription factor 1
ENSG00000086061	DNAJA1	dj-2,hdj-2,HSJ2,HSPF4,NEDD7	DnaJ (Hsp40) homolog, subfamily A, member 1
ENSG00000090520	DNAJB11	EDJ,ERdj3,HEDJ	DnaJ (Hsp40) homolog, subfamily B, member 11
ENSG00000137094	DNAJB5	Hsc40	DnaJ (Hsp40) homolog, subfamily B, member 5
ENSG00000135392	DNAJC14	DNAJ,DRIP78,FLJ32792,HDJ3,LIP6	DnaJ (Hsp40) homolog, subfamily C, member 14
ENSG00000105821	DNAJC2	MPHOSPH11,MPP11,ZRF1,ZUO1,zuotin	DnaJ (Hsp40) homolog, subfamily C, member 2
ENSG00000170946	DNAJC24	DPH4,JJJ3,ZCSL3	DnaJ (Hsp40) homolog, subfamily C, member 24
ENSG00000177692	DNAJC28	C21orf55,C21orf78	DnaJ (Hsp40) homolog, subfamily C, member 28
ENSG00000168259	DNAJC7	TPR2,TTC2	DnaJ (Hsp40) homolog, subfamily C, member 7
ENSG00000163687	DNASE1L3	DNAS1L3,LSD	deoxyribonuclease I-like 3
ENSG00000130816	DNMT1	CXXC9,DNMT,MCMT	DNA (cytosine-5-)-methyltransferase 1
ENSG00000119772	DNMT3A		DNA (cytosine-5-)-methyltransferase 3 alpha
ENSG00000088305	DNMT3B		DNA (cytosine-5-)-methyltransferase 3 beta
ENSG00000115325	DOK1	p62dok	docking protein 1, 62kDa (downstream of tyrosine kinase 1)
ENSG00000133884	DPF2	REQ,ubi-d4	D4, zinc and double PHD fingers family 2
ENSG00000176978	DPP7	DPPII	dipeptidyl-peptidase 7
ENSG00000175550	DRAP1	NC2-alpha	DR1-associated protein 1 (negative cofactor 2 alpha)
ENSG00000108591	DRG2		developmentally regulated GTP binding protein 2
ENSG00000143476	DTL	DCAF2,L2DTL,RAMP	denticleless homolog (Drosophila)
ENSG00000047579	DTNBP1	DBND,Dysbindin,HPS7,My031	dystrobrevin binding protein 1
ENSG00000169718	DUS1L	DUS1,PP3111	dihydrouridine synthase 1-like (S. cerevisiae)
ENSG00000143507	DUSP10	MKP-5,MKP5	dual specificity phosphatase 10
ENSG00000079393	DUSP13	BEDP,DUSP13A,DUSP13B,FLJ32450,TMDP	dual specificity phosphatase 13
ENSG00000158560	DYNC1I1	DNCI1,DNCIC1	dynein, cytoplasmic 1, intermediate chain 1
ENSG00000157540	DYRK1A	DYRK,DYRK1,MNBH	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A
ENSG00000147654	EBAG9	EB9,RCAS1	estrogen receptor binding site associated, antigen, 9
ENSG00000117395	EBNA1BP2	EBP2,NOBP,P40	EBNA1 binding protein 2
ENSG00000127884	ECHS1	SCEH	enoyl CoA hydratase, short chain, 1, mitochondrial
ENSG00000151617	EDNRA		endothelin receptor type A
ENSG00000167658	EEF2	EEF-2,EF2	eukaryotic translation elongation factor 2
ENSG00000034239	EFCAB1	FLJ11767	EF-hand calcium binding domain 1
ENSG00000143590	EFNA3	Ehk1-L,EPLG3,LERK3	ephrin-A3
ENSG00000132294	EFR3A	KIAA0143	EFR3 homolog A (S. cerevisiae)
ENSG00000108883	EFTUD2	Snrp116,Snu114,U5-116KD	elongation factor Tu GTP binding domain containing 2
ENSG00000146648	EGFR	ERBB,ERBB1	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
ENSG00000135766	EGLN1	C1orf12,HIFPH2,PHD2,SM-20,ZMYND6	egl nine homolog 1 (C. elegans)
ENSG00000104408	EIF3E	eIF3-p48,eIF3e,EIF3S6,INT6	eukaryotic translation initiation factor 3, subunit E
ENSG00000147677	EIF3H	eIF3-gamma,eIF3-p40,eIF3h,EIF3S3	eukaryotic translation initiation factor 3, subunit H
ENSG00000084623	EIF3I	eIF3-beta,eIF3-p36,eIF3i,EIF3S2,TRIP-1	eukaryotic translation initiation factor 3, subunit I
ENSG00000141543	EIF4A3	DDX48,EIF4AIII,KIAA0111	eukaryotic translation initiation factor 4A3
ENSG00000187840	EIF4EBP1	4E-BP1,PHAS-I	eukaryotic translation initiation factor 4E binding protein 1
ENSG00000184708	EIF4ENIF1	2610509L04Rik,4E-T,Clast4,FLJ21601	eukaryotic translation initiation factor 4E nuclear import factor 1
ENSG00000110321	EIF4G2	DAP5,NAT1,p97	eukaryotic translation initiation factor 4 gamma, 2
ENSG00000006744	ELAC2	FLJ10530,HPC2	elaC homolog 2 (E. coli)
ENSG00000102890	ELMO3	CED-12,CED12,ELMO-3,FLJ13824	engulfment and cell motility 3
ENSG00000134759	ELP2	FLJ10879,STATIP1,StIP	elongation protein 2 homolog (S. cerevisiae)
ENSG00000102119	EMD	LEMD5,STA	emerin
ENSG00000154920	EME1	FLJ31364,MMS4L	essential meiotic endonuclease 1 homolog 1 (S. pombe)
ENSG00000186629	EMR4P	EMR4,GPR127,PGR16	egf-like module containing, mucin-like, hormone receptor-like 4 pseudogene
ENSG00000167136	ENDOG		endonuclease G
ENSG00000106991	ENG	CD105,END,HHT1,ORW,ORW1	endoglin
ENSG00000197217	ENTPD4	KIAA0392,LALP70,LAP70,LYSAL1,NTPDase-4,UDPase	ectonucleoside triphosphate diphosphohydrolase 4
ENSG00000079819	EPB41L2	4.1-G	erythrocyte membrane protein band 4.1-like 2
ENSG00000158856	EPB49	DMT	erythrocyte membrane protein band 4.9 (dematin)
ENSG00000120915	EPHX2		epoxide hydrolase 2, cytoplasmic
ENSG00000130427	EPO	EP	erythropoietin
ENSG00000132591	ERAL1	HERA-B	Era G-protein-like 1 (E. coli)
ENSG00000082805	ERC1	CAST2,ELKS,KIAA1081,MGC12974,RAB6IP2	ELKS/RAB6-interacting/CAST family member 1
ENSG00000012061	ERCC1		excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
ENSG00000113719	ERGIC1	ERGIC-32,ERGIC32,KIAA1181,NET24	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1
ENSG00000100632	ERH	DROER	enhancer of rudimentary homolog (Drosophila)
ENSG00000107566	ERLIN1	C10orf69,Erlin-1,KE04,SPFH1	ER lipid raft associated 1
ENSG00000147475	ERLIN2	C8orf2,Erlin-2,NET32,SPFH2	ER lipid raft associated 2
ENSG00000104413	ESRP1	FLJ20171,RBM35A	epithelial splicing regulatory protein 1
ENSG00000139641	ESYT1	FAM62A,KIAA0747,MBC2	extended synaptotagmin-like protein 1
ENSG00000140374	ETFA	EMA,GA2,MADD	electron-transfer-flavoprotein, alpha polypeptide
ENSG00000105379	ETFB		electron-transfer-flavoprotein, beta polypeptide
ENSG00000117036	ETV3	PE-1	ets variant 3
ENSG00000072840	EVC	DWF-1	Ellis van Creveld syndrome
ENSG00000182473	EXOC7	EXO70,Exo70p,KIAA1067,YJL085W	exocyst complex component 7
ENSG00000157036	EXOG	ENDOGL1,ENDOGL2,ENGL,ENGL-a,ENGL-b	endo/exonuclease (5'-3'), endonuclease G-like
ENSG00000130713	EXOSC2	hRrp4p,p7,RRP4,Rrp4p	exosome component 2
ENSG00000064655	EYA2	EAB1	eyes absent homolog 2 (Drosophila)
ENSG00000106462	EZH2	ENX-1,EZH1,KMT6,KMT6A	enhancer of zeste homolog 2 (Drosophila)
ENSG00000164434	FABP7	B-FABP,BLBP	fatty acid binding protein 7, brain
ENSG00000169122	FAM110B	C8orf72,MGC39325	family with sequence similarity 110, member B
ENSG00000048828	FAM120A	C9orf10,KIAA0183	family with sequence similarity 120A
ENSG00000136830	FAM129B	bA356B19.6,C9orf88,DKFZP434H0820,FLJ13518,FLJ22151,FLJ22298,MINERVA	family with sequence similarity 129, member B
ENSG00000141699	FAM134C	DKFZp686B1036,FLJ33806	family with sequence similarity 134, member C
ENSG00000104427	FAM164A	C8orf70,CGI-62	family with sequence similarity 164, member A
ENSG00000188163	FAM166A		family with sequence similarity 166, member A
ENSG00000165660	FAM175B	ABRO1,Em:AC068896.4,KIAA0157	family with sequence similarity 175, member B
ENSG00000071859	FAM50A	9F,DXS9928E,HXC-26,XAP5	family with sequence similarity 50, member A
ENSG00000146410	FAM54A	DUFD1	family with sequence similarity 54, member A
ENSG00000137824	FAM82A2	FAM82C,FLJ10579,PTPIP51	family with sequence similarity 82, member A2
ENSG00000171262	FAM98B	FLJ38426	family with sequence similarity 98, member B
ENSG00000221829	FANCG	FAG,XRCC9	Fanconi anemia, complementation group G
ENSG00000169710	FASN	FAS,SDR27X1	fatty acid synthase
ENSG00000112029	FBXO5	EMI1,FBX5,Fbxo31	F-box protein 5
ENSG00000168496	FEN1	FEN-1,MF1,RAD2	flap structure-specific endonuclease 1
ENSG00000151422	FER	TYK3	fer (fps/fes related) tyrosine kinase
ENSG00000160867	FGFR4	CD334,JTK2	fibroblast growth factor receptor 4
ENSG00000091483	FH	fumarase	fumarate hydratase
ENSG00000189283	FHIT	AP3Aase,FRA3B	fragile histidine triad gene
ENSG00000022267	FHL1	bA535K18.1,FHL1B,FLH1A,KYO-T,MGC111107,SLIM1,XMPMA	four and a half LIM domains 1
ENSG00000115641	FHL2	DRAL,SLIM3	four and a half LIM domains 2
ENSG00000198855	FICD	HIP13,HYPE	FIC domain containing
ENSG00000100442	FKBP3	FKBP-25,PPIase	FK506 binding protein 3, 25kDa
ENSG00000160688	FLAD1	FAD1,PP591	FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)
ENSG00000177731	FLII	FLI,Fli1,FLIL,MGC39265	flightless I homolog (Drosophila)
ENSG00000196924	FLNA	ABP-280,FLN,FLN1,OPD1,OPD2	filamin A, alpha
ENSG00000136068	FLNB	ABP-278,FH1,FLN1L,TABP,TAP	filamin B, beta
ENSG00000157827	FMNL2	FHOD2,KIAA1902	formin-like 2
ENSG00000115414	FN1	CIG,FINC,GFND2,LETS,MSF	fibronectin 1
ENSG00000143107	FNDC7	FLJ35838	fibronectin type III domain containing 7
ENSG00000075426	FOSL2	FLJ23306,FRA2	FOS-like antigen 2
ENSG00000164916	FOXK1	IMAGE:5164497	forkhead box K1
ENSG00000141568	FOXK2	ILF,ILF1	forkhead box K2
ENSG00000150907	FOXO1	FKH1,FKHR,FOXO1A	forkhead box O1
ENSG00000114861	FOXP1	12CC4,hFKH1B,HSPC215,QRF1	forkhead box P1
ENSG00000170324	FRMPD2	MGC35285,PDZD5C,PDZK5C	FERM and PDZ domain containing 2
ENSG00000075618	FSCN1	FLJ38511,p55,SNL	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
ENSG00000162613	FUBP1	FBP,FUBP	far upstream element (FUSE) binding protein 1
ENSG00000196968	FUT11	MGC33202	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)
ENSG00000033170	FUT8		fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
ENSG00000164930	FZD6	Hfz6	frizzled homolog 6 (Drosophila)
ENSG00000145907	G3BP1	G3BP,HDH-VIII	GTPase activating protein (SH3 domain) binding protein 1
ENSG00000138757	G3BP2	KIAA0660	GTPase activating protein (SH3 domain) binding protein 2
ENSG00000104064	GABPB1	E4TF1-47,GABPB,GABPB2	GA binding protein transcription factor, beta subunit 1
ENSG00000094755	GABRP		gamma-aminobutyric acid (GABA) A receptor, pi
ENSG00000178950	GAK		cyclin G associated kinase
ENSG00000117308	GALE	SDR1E1	UDP-galactose-4-epimerase
ENSG00000141429	GALNT1	GalNAc-T1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)
ENSG00000164574	GALNT10	DKFZp586H0623	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
ENSG00000143641	GALNT2	GalNAc-T2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)
ENSG00000136542	GALNT5		UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)
ENSG00000130035	GALNT8	GALNAC-T8	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 8 (GalNAc-T8)
ENSG00000111640	GAPDH	GAPD	glyceraldehyde-3-phosphate dehydrogenase
ENSG00000185340	GAS2L1	GAR22	growth arrest-specific 2 like 1
ENSG00000179348	GATA2	NFE1B	GATA binding protein 2
ENSG00000167491	GATAD2A	p66alpha	GATA zinc finger domain containing 2A
ENSG00000177628	GBA	GBA1,GLUC	glucosidase, beta, acid
ENSG00000179562	GCC1	FLJ22035,GCC1P,GCC88,MGC20706	GRIP and coiled-coil domain containing 1
ENSG00000023909	GCLM	GLCLR	glutamate-cysteine ligase, modifier subunit
ENSG00000089154	GCN1L1	GCN1,GCN1L,KIAA0219	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)
ENSG00000146013	GFRA3	GFRa-3	GDNF family receptor alpha 3
ENSG00000131067	GGT7	D20S101,dJ18C9.2,GGTL3,GGTL5	gamma-glutamyltransferase 7
ENSG00000196329	GIMAP5	HIMAP3,IAN4L1	GTPase, IMAP family member 5
ENSG00000179144	GIMAP7	IAN7,MGC27027	GTPase, IMAP family member 7
ENSG00000171115	GIMAP8	DKFZp667I133,hIAN6	GTPase, IMAP family member 8
ENSG00000152661	GJA1	CX43,GJAL,ODD,ODDD,ODOD,SDTY3	gap junction protein, alpha 1, 43kDa
ENSG00000169562	GJB1	CMTX,CMTX1,CX32	gap junction protein, beta 1, 32kDa
ENSG00000090863	GLG1	CFR-1,ESL-1,MG-160	golgi glycoprotein 1
ENSG00000167699	GLOD4	C17orf25,CGI-150,HC71	glyoxalase domain containing 4
ENSG00000023572	GLRX2	bA101E13.1,GRX2	glutaredoxin 2
ENSG00000108010	GLRX3	bA500G10.4,GLRX4,GRX3,GRX4,PICOT,TXNL2	glutaredoxin 3
ENSG00000120820	GLT8D2	FLJ31494	glycosyltransferase 8 domain containing 2
ENSG00000140632	GLYR1	BM045,HIBDL,N-PAC,NP60	glyoxylate reductase 1 homolog (Arabidopsis)
ENSG00000101216	GMEB2	KIAA1269,P79PIF,PIF79	glucocorticoid modulatory element binding protein 2
ENSG00000173540	GMPPB	KIAA1851	GDP-mannose pyrophosphorylase B
ENSG00000120063	GNA13	G13,MGC46138	guanine nucleotide binding protein (G protein), alpha 13
ENSG00000114450	GNB4		guanine nucleotide binding protein (G protein), beta polypeptide 4
ENSG00000134697	GNL2	HUMAUANTIG,Ngp-1	guanine nucleotide binding protein-like 2 (nucleolar)
ENSG00000135677	GNS		glucosamine (N-acetyl)-6-sulfatase
ENSG00000167110	GOLGA2	GM130,golgin-95	golgin A2
ENSG00000173230	GOLGB1	GCP,GCP372,giantin,GOLIM1	golgin B1
ENSG00000173905	GOLIM4	GIMPC,GOLPH4,GPP130,P138	golgi integral membrane protein 4
ENSG00000047932	GOPC	CAL,dJ94G16.2,FIG,GOPC1,PIST	golgi-associated PDZ and coiled-coil motif containing
ENSG00000169154	GOT1L1	MGC33309	glutamic-oxaloacetic transaminase 1-like 1
ENSG00000092978	GPATCH2	CT110,FLJ10252,GPATC2	G patch domain containing 2
ENSG00000105220	GPI	AMF,NLK	glucose-6-phosphate isomerase
ENSG00000068394	GPKOW	GPATC5,GPATCH5,Spp2,T54	G patch domain and KOW motifs
ENSG00000158301	GPRASP2	FLJ37327,GASP2	G protein-coupled receptor associated sorting protein 2
ENSG00000167191	GPRC5B	RAIG-2	G protein-coupled receptor, family C, group 5, member B
ENSG00000121957	GPSM2	LGN,Pins	G-protein signaling modulator 2 (AGS3-like, C. elegans)
ENSG00000178075	GRAMD1C	DKFZp434C0328	GRAM domain containing 1C
ENSG00000137106	GRHPR	GLXR,PH2	glyoxylate reductase/hydroxypyruvate reductase
ENSG00000120251	GRIA2	GLUR2,GLURB	glutamate receptor, ionotropic, AMPA 2
ENSG00000030582	GRN	PCDGF,PGRN	granulin
ENSG00000164284	GRPEL2	DKFZp451C205,FLJ23713,Mt-GrpE#2	GrpE-like 2, mitochondrial (E. coli)
ENSG00000167914	GSDMA	FLJ39120,GSDM,GSDM1	gasdermin A
ENSG00000147697	GSDMC	MLZE	gasdermin C
ENSG00000105723	GSK3A		glycogen synthase kinase 3 alpha
ENSG00000082701	GSK3B		glycogen synthase kinase 3 beta
ENSG00000197448	GSTK1	GST13	glutathione S-transferase kappa 1
ENSG00000084207	GSTP1	FAEES3,GST3,GSTP	glutathione S-transferase pi 1
ENSG00000197265	GTF2E2	FE,TF2E2,TFIIE-B	general transcription factor IIE, polypeptide 2, beta 34kDa
ENSG00000125651	GTF2F1	BTF4,RAP74,TF2F1,TFIIF	general transcription factor IIF, polypeptide 1, 74kDa
ENSG00000188342	GTF2F2	BTF4,RAP30,TFIIF	general transcription factor IIF, polypeptide 2, 30kDa
ENSG00000110768	GTF2H1	BTF2	general transcription factor IIH, polypeptide 1, 62kDa
ENSG00000077809	GTF2I	BAP-135,BTKAP1,DIWS,IB291,SPIN,TFII-I,WBSCR6	general transcription factor IIi
ENSG00000105793	GTPBP10	DKFZP686A10121,FLJ38242	GTP-binding protein 10 (putative)
ENSG00000184897	H1FX	H1X,MGC15959,MGC8350	H1 histone family, member X
ENSG00000188486	H2AFX	H2AX	H2A histone family, member X
ENSG00000164032	H2AFZ	H2A.Z,H2AZ	H2A histone family, member Z
ENSG00000163041	H3F3A	H3.3A,H3F3	H3 histone, family 3A
ENSG00000147874	HAUS6	dgt6,FAM29A,FLJ20060,KIAA1574	HAUS augmin-like complex, subunit 6
ENSG00000134248	HBXIP	MGC71071,XIP	hepatitis B virus x interacting protein
ENSG00000116478	HDAC1	GON-10,HD1,RPD3L1	histone deacetylase 1
ENSG00000196591	HDAC2	RPD3,YAF1	histone deacetylase 2
ENSG00000002746	HECW1	KIAA0322,NEDL1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
ENSG00000136929	HEMGN	EDAG	hemogen
ENSG00000122557	HERPUD2	FLJ22313	HERPUD family member 2
ENSG00000169660	HEXDC	FLJ23825	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing
ENSG00000186834	HEXIM1	CLP-1,EDG1,HIS1,MAQ1	hexamethylene bis-acetamide inducible 1
ENSG00000168517	HEXIM2	FLJ32384	hexamthylene bis-acetamide inducible 2
ENSG00000164161	HHIP	FLJ20992,HIP	hedgehog interacting protein
ENSG00000106049	HIBADH	NS5ATP1	3-hydroxyisobutyrate dehydrogenase
ENSG00000127946	HIP1	ILWEQ	huntingtin interacting protein 1
ENSG00000064393	HIPK2		homeodomain interacting protein kinase 2
ENSG00000137259	HIST1H2AB	H2A/m,H2AFM	histone cluster 1, H2ab
ENSG00000124529	HIST1H4B	H4/I,H4FI	histone cluster 1, H4b
ENSG00000203814	HIST2H2BF		histone cluster 2, H2bf
ENSG00000168148	HIST3H3	H3/g,H3FT,H3t	histone cluster 3, H3
ENSG00000156515	HK1		hexokinase 1
ENSG00000149397	HMBS	PBGD,UPS	hydroxymethylbilane synthase
ENSG00000140382	HMG20A	FLJ10739,HMGX1,HMGXB1	high-mobility group 20A
ENSG00000149948	HMGA2	BABL,HMGIC,LIPO	high mobility group AT-hook 2
ENSG00000189403	HMGB1	DKFZp686A04236,HMG1,HMG3,SBP-1	high-mobility group box 1
ENSG00000164104	HMGB2	HMG2	high-mobility group box 2
ENSG00000205581	HMGN1	FLJ27265,FLJ31471,HMG14,MGC104230,MGC117425	high-mobility group nucleosome binding domain 1
ENSG00000100292	HMOX1	bK286B10,HO-1	heme oxygenase (decycling) 1
ENSG00000135486	HNRNPA1	hnRNP-A1,hnRNPA1,HNRPA1,HNRPA1L3	heterogeneous nuclear ribonucleoprotein A1-like 3
ENSG00000122566	HNRNPA2B1	HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1
